fips,mtfcc,lane_miles
1075,S1400,2803.301487910494
1077,S1200,705.0794240270269
1077,S1400,6113.776130050187
1079,S1200,550.9359151530343
1079,S1400,2790.9886035188733
1081,S1100,176.49698401919306
1081,S1200,927.9447302417211
1081,S1400,5874.527895586421
1083,S1100,633.6538839272664
1083,S1200,715.0397069417978
1083,S1400,4404.783557586782
1085,S1100,150.6565171662627
1085,S1200,401.25103698498117
1085,S1400,2209.1527286793503
1087,S1100,229.17442095338006
1087,S1200,495.498061662326
1087,S1400,2174.9502118772584
1089,S1100,431.63243779597406
1089,S1200,910.8872113478598
1089,S1400,9422.601967587048
1091,S1200,786.5182699580748
1091,S1400,2870.65467154654
1093,S1100,875.4028851172432
1093,S1200,786.4182200953541
1093,S1400,3091.183023700756
1095,S1200,891.4469986703796
1095,S1400,3985.1335507111917
1097,S1100,536.7554609883551
1097,S1200,1432.177207491187
1097,S1400,13597.543787366185
1099,S1200,453.0431511518314
1099,S1400,3184.611996307699
1101,S1100,476.23187075000874
1101,S1200,1560.755160842375
1101,S1400,4750.711221272959
1103,S1100,152.64288874086304
1103,S1200,717.3120013586881
1103,S1400,3828.045812727464
1105,S1200,334.6073286157431
1105,S1400,1990.6100243152343
1107,S1200,538.200062625522
1107,S1400,3308.2984529160794
1109,S1200,586.7597336793507
1109,S1400,3490.963227620762
1111,S1200,291.5550137183723
1111,S1400,2873.5081377507004
1113,S1100,34.2151728837602
1113,S1200,645.3145512733809
1113,S1400,2745.966528522182
1115,S1100,439.1405381321179
1115,S1200,856.6357768305885
1115,S1400,3746.791868343158
1117,S1100,181.2950650814432
1117,S1200,862.0247976757857
1117,S1400,6070.1165930025345
1119,S1100,433.1118950995179
1119,S1200,556.5698647010739
1119,S1400,2168.075605568989
1121,S1100,143.09688381445073
1121,S1200,760.0837723546484
1121,S1400,5334.329207584406
1123,S1200,784.1269211384116
1123,S1400,3654.5516748350237
1125,S1100,874.0659506682861
1125,S1200,1244.6513828800507
1125,S1400,7648.70512799968
1127,S1100,790.3109078711178
1127,S1200,540.7978485692249
1127,S1400,4260.740205043221
1129,S1200,682.7671468463452
1129,S1400,3627.9326876293203
1131,S1200,503.79434698279147
1131,S1400,1961.518122439162
1133,S1200,312.8340589682171
1133,S1400,2969.11864111971
2013,S1400,138.3998330093359
2016,S1400,309.0681176345119
2020,S1100,613.269772308082
2020,S1200,233.34439832071342
2020,S1400,3221.923719287044
2050,S1400,351.1317750548485
2060,S1400,219.84629582923077
2063,S1200,384.3592164667073
