probability_rank,fips,county_name,state,probability_score,probability_tier,drought_score,fire_frequency_score,max_consecutive_weeks,recent_intensity,episode_frequency,total_drought_weeks,fire_count,fires_per_100k,last_drought_end
214,49043,Summit County,UT,0.44487353739907226,Moderate,0.4996904255012191,0.02470617594950681,166,80.91551069086566,3,219,115,241.4272816504493,2023-07-10
215,32001,Churchill County,NV,0.44434001611834667,Moderate,0.5024342240363754,0.006856196834935238,174,77.2314809856618,3,191,26,67.02718760502825,2023-06-12
216,48059,Callahan County,TX,0.44427281378347805,Moderate,0.49930484322251917,0.02430085920487466,120,74.19546852874234,8,195,13,237.46720539891317,2023-12-25
217,56023,Lincoln County,WY,0.4441859877237751,Moderate,0.4982278805296945,0.0300296816767477,165,80.9532546115314,3,221,69,293.4396618063592,2023-07-10
218,30019,Daniels County,MT,0.44306255086641266,Moderate,0.49788112383339567,0.02715029134756643,144,79.72657568507282,5,195,4,265.3070829960707,2024-01-01
219,6015,Del Norte County,CA,0.44095126510796284,Moderate,0.49464589076910626,0.03638032315881515,159,76.39772927809139,4,193,56,355.48749192494915,2023-12-04
220,30105,Valley County,MT,0.44039056892416145,Moderate,0.49205864791708276,0.04862460021822439,145,76.93794214301758,5,185,30,475.1180560266157,2024-01-01
221,49057,Weber County,UT,0.4401947393752313,Moderate,0.5000964031436945,0.002229538646870112,170,78.7087551169287,3,206,88,21.823234259453578,2023-06-19
222,40153,Woodward County,OK,0.43822316973259623,Moderate,0.4980724411566123,0.005197684267337467,120,73.73010238845548,8,202,5,50.82298109542828,2024-01-01
223,16069,Nez Perce County,ID,0.437042514107686,Moderate,0.4950051159010127,0.017489235588013855,141,80.41061143524571,5,188,83,170.91543008547475,2024-01-01
224,56041,Uinta County,WY,0.4362706719495299,Moderate,0.4965406411660868,0.005458950048668367,165,80.31613780354843,3,217,15,53.375632644345956,2023-07-10
225,30093,Silver Bow County,MT,0.4362157511649878,Moderate,0.49562383038879854,0.01041776078745224,157,71.20401802881364,5,169,61,101.82482430145946,2024-01-01
226,6073,San Diego County,CA,0.43563245281553914,Moderate,0.4965765097016149,0.002503549369473406,157,78.30677660482687,4,203,918,24.50040802446139,2023-08-21
227,49029,Morgan County,UT,0.4338201675165458,Moderate,0.4928465954721123,0.015826329929855287,165,78.92123281742018,3,210,36,154.6683016541159,2023-07-03
228,31031,Cherry County,NE,0.43124923046790953,Moderate,0.4877853771071934,0.03342225723771929,175,84.59596664967792,1,175,8,326.58622702595915,2023-10-30
229,30067,Park County,MT,0.43073563939657394,Moderate,0.4917551394296528,0.008710585954453518,162,73.53611319229704,4,181,30,85.14517165223566,2024-01-01
230,48487,Wilbarger County,TX,0.428634695349015,Moderate,0.4910722023358666,0.003521146987688029,120,77.82976731652853,7,209,1,34.44266729423008,2024-01-01
231,8037,Eagle County,CO,0.42749474758132533,Moderate,0.48862311694102256,0.012484623908112124,175,71.42626822744825,3,196,120,122.01874835640913,2023-06-19
232,8093,Park County,CO,0.4226095058629135,Moderate,0.4791962207715831,0.04484144533337453,157,71.74382267916309,4,213,105,438.15540394330844,2024-01-01
233,56005,Campbell County,WY,0.4225645950143185,Moderate,0.47994383756079356,0.040410976198243354,165,74.04903500604442,3,179,136,394.86828137175036,2023-07-03
234,20007,Barber County,KS,0.422254099754053,Moderate,0.4861448254431019,0.00393056086432806,133,75.04198032885112,6,174,3,38.44277385632874,2024-01-01
235,30027,Fergus County,MT,0.42175770256200157,Moderate,0.4773523229346223,0.051617813325337616,158,77.20055439063049,3,180,51,504.36272034963406,2023-11-06
236,4011,Greenlee County,AZ,0.4217310134615288,Moderate,0.46392800279254215,0.12757942537311742,142,74.8286172832773,4,210,106,1246.5323441874575,2024-01-01
237,46117,Stanley County,SD,0.42147470971479595,Moderate,0.4823475152354121,0.022089334439682872,163,76.13671358230044,3,173,6,215.8598900873578,2023-10-02
238,8069,Larimer County,CO,0.41943927140063775,Moderate,0.48409366910789675,0.0034165158462626634,149,71.57023788018607,5,181,216,33.42038705583096,2024-01-01
239,30059,Meagher County,MT,0.41893304081787225,Moderate,0.4535150284685262,0.17452516001590812,167,69.63226829439638,2,169,46,1705.2074207342116,2023-08-14
240,48093,Comanche County,TX,0.4188783258874645,Moderate,0.4833728208932108,0.005082709373195125,119,75.51242550952223,7,201,4,49.69963903308839,2024-01-01
241,56019,Johnson County,WY,0.4184927922498554,Moderate,0.4523722707406195,0.1791028184481269,162,72.1508231587038,2,180,127,1749.932630548886,2023-06-12
242,16019,Bonneville County,ID,0.41845018150116137,Moderate,0.4833747251224987,0.0032256722162796528,150,70.70874404539268,5,173,43,31.55578280036511,2023-08-07
243,48367,Parker County,TX,0.41802835659073945,Moderate,0.4835370088935907,0.0004870021758003002,114,71.78147660236746,8,186,6,4.798086919977527,2024-01-01
244,40003,Alfalfa County,OK,0.41761971614388427,Moderate,0.475823218345935,0.042439532227908194,113,62.71567551601166,9,158,8,414.6879327046278,2023-11-27
245,6063,Plumas County,CA,0.41754521841862513,Moderate,0.46577402103768273,0.09906789146644115,165,68.69838442994288,3,174,157,967.96539669762,2023-04-10
246,35017,Grant County,NM,0.41751360726834946,Moderate,0.47134700889658426,0.0673490077698304,147,81.42304870887806,3,230,191,658.0615999369335,2024-01-01
247,48143,Erath County,TX,0.4174366459153515,Moderate,0.48298218297900086,0.001079668347008055,113,72.16198342945506,8,194,2,10.588627924689112,2024-01-01
248,6103,Tehama County,CA,0.4169203288494171,Moderate,0.4717100058621156,0.06273353750362037,167,69.7598376637045,3,178,488,612.9669562219852,2023-04-10
249,48441,Taylor County,TX,0.4153403581187821,Moderate,0.48152374691567157,0.00030512305350068264,119,74.81419849105393,7,200,2,3.021068816462885,2023-12-25
250,56031,Platte County,WY,0.41380644062545646,Moderate,0.4687733066945748,0.06594832783799084,166,75.98394592966359,2,175,23,644.376502028839,2023-08-07
251,6043,Mariposa County,CA,0.41193915369278566,Moderate,0.454138720616454,0.14083158170908114,162,66.07483229954985,3,174,208,1376.0102162041255,2023-03-06
252,6011,Colusa County,CA,0.4118607268914529,Moderate,0.4713862637752027,0.04275017646871669,167,69.63758973049919,3,177,75,417.723027841935,2023-04-10
253,30097,Sweet Grass County,MT,0.4117940117609263,Moderate,0.4655649496198342,0.07545234230451642,162,70.3894794722842,3,171,20,737.2338104958291,2024-01-01
254,6033,Lake County,CA,0.4115936304729738,Moderate,0.4717100058621156,0.03976372992947944,167,69.7598376637045,3,178,383,388.54447508500647,2023-04-10
255,20033,Comanche County,KS,0.41110142262206534,Moderate,0.47773218797450956,0.003513039584696827,129,74.22534890681757,6,176,1,34.36345533352949,2024-01-01
256,4003,Cochise County,AZ,0.4109476017548726,Moderate,0.4735958318963474,0.026290794945942497,147,75.52920629386487,4,196,401,256.90952396741335,2024-01-01
257,48207,Haskell County,TX,0.4107172539479525,Moderate,0.4731042015880522,0.028083596777738494,117,72.81493040164588,7,196,5,274.4257802085641,2023-11-13
258,48503,Young County,TX,0.4101655703219714,Moderate,0.4773803004756748,0.001471628716896702,120,72.65958162946094,7,184,1,14.418208056514311,2023-12-25
259,46073,Jerauld County,SD,0.40928972238179817,Moderate,0.47124794086607624,0.032447368771275915,162,79.27844651687168,2,165,1,317.06125004193973,2023-11-06
260,6021,Glenn County,CA,0.40896459531074203,Moderate,0.4717100058621156,0.028426795206616944,167,69.7598376637045,3,178,103,277.77894033768615,2023-04-10
261,40071,Kay County,OK,0.40876810735679847,Moderate,0.47602551890355405,0.0031231400021318576,132,71.81085296980967,6,157,10,30.55400976324916,2024-01-01
262,56027,Niobrara County,WY,0.4084369016072191,Moderate,0.45334325647341794,0.13023711709536379,162,72.5174761327992,2,171,17,1272.4988555950329,2023-07-10
263,48221,Hood County,TX,0.4071062662976956,Moderate,0.4751352056417668,0.0010024199014697936,113,69.19889398213246,8,181,4,9.833885519655283,2023-12-25
264,48283,La Salle County,TX,0.40694588637445656,Moderate,0.47339151052190676,0.010192489378474076,121,84.04940099513402,5,237,2,99.6238494622528,2024-01-01
265,6007,Butte County,CA,0.4069149902006471,Moderate,0.4710661617020378,0.023237197391098995,167,69.51671629932964,3,176,510,227.07488397577117,2023-04-10
266,6115,Yuba County,CA,0.40666941722636274,Moderate,0.4710661617020378,0.022178236743042437,167,69.51671629932964,3,176,174,216.72849446875486,2023-04-10
267,6057,Nevada County,CA,0.4066639237487582,Moderate,0.4722615404307453,0.015380240445944401,167,69.96810209342138,3,179,253,150.30986249587497,2023-04-10
268,48087,Collingsworth County,TX,0.4066558490063135,Moderate,0.4711464732352938,0.021664595904623968,122,82.61164055956903,5,230,1,211.71005663469467,2024-01-01
269,31059,Fillmore County,NE,0.4066260531994302,Moderate,0.47066859071165446,0.024244308979860487,133,75.94103272050484,5,173,5,236.914691331672,2024-01-01
270,6051,Mono County,CA,0.4061011961821013,Moderate,0.4577436351747839,0.09522778023367948,163,66.84606646587389,3,175,72,930.4462625944433,2023-03-13
271,48075,Childress County,TX,0.4055764163909035,Moderate,0.4716407946965432,0.014208503324239322,121,83.38831490243173,5,231,3,138.86161020884245,2024-01-01
272,6061,Placer County,CA,0.40515410710768507,Moderate,0.4722615404307453,0.008869603787586824,167,69.96810209342138,3,179,483,86.69882753470718,2023-04-10
273,4009,Graham County,AZ,0.40438181140455304,Moderate,0.45881654773520303,0.08173316142840586,142,72.89848573198573,4,199,301,798.599453495064,2024-01-01
274,6055,Napa County,CA,0.4043006228848851,Moderate,0.4713862637752027,0.010149469239015134,167,69.63758973049919,3,177,154,99.20352872577855,2023-04-10
275,46103,Pennington County,SD,0.4041875181839618,Moderate,0.47221075148594327,0.0049893006438968155,161,73.48900832201055,3,167,53,48.78700540647591,2024-01-01
276,46137,Ziebach County,SD,0.40376520929277615,Moderate,0.4659788484288682,0.038484914104142155,167,74.33871917486191,2,173,3,376.0500290817878,2023-07-10
277,48433,Stonewall County,TX,0.40366048412370403,Moderate,0.45465889447507946,0.1021844064673677,117,72.59283427152548,6,194,4,998.4147605745706,2023-11-13
278,46095,Mellette County,SD,0.40325728602008365,Moderate,0.46540127305993334,0.03956781159520451,162,77.07069199766602,2,165,3,386.63028932022445,2023-10-02
279,6113,Yolo County,CA,0.40295878024732984,Moderate,0.4710661617020378,0.006177214841218619,167,69.51671629932964,3,176,165,60.39331297698121,2023-04-10
280,32029,Storey County,NV,0.40282794854306087,Moderate,0.4682677686980583,0.021471759906193415,166,69.05003194932715,3,177,14,209.82598629232788,2023-04-03
281,16043,Fremont County,ID,0.4028001203628615,Moderate,0.46850628938762334,0.02000004321637823,158,73.86021230382468,3,171,24,195.4468361843898,2023-08-21
