final_rank,fips,county_name,state,final_risk_score,final_risk_tier,risk_quadrant,probability_score,probability_tier,impact_score,impact_tier,infrastructure_vulnerability_score,infrastructure_tier,predicted_risk_score,predicted_risk_tier,risk_direction,risk_change,trajectory,predicted_gdp_impact_pct,prediction_ci_low,prediction_ci_high,confidence_flag,top_shap_driver,shap_breakdown,industry_source,top_industries,total_gdp_m,wui_housing_fraction,wui_data_available,predicted_gdp_loss_m,estimated_loss_m,total_loss_low_m,total_loss_high_m,estimated_wage_loss_m,is_rural,population_density,rural_industry_source,rural_gdp_data_quality,rural_training_coverage,rural_prediction_confidence
768,53009,Clallam County,WA,0.13449587754790296,Low,Low Probability / Low Impact,0.13628607122423134,Low,0.45608265743673904,Moderate,0.6102517958669493,Vulnerable,0.134104327112298,Low,→ Stable,-0.0003915504356049593,Resilient,-10.52373218536377,-11.35373218536377,-9.69373218536377,Medium,gdp_per_capita ↓ (-1.278),gdp_per_capita: -1.278  |  drought_weeks_before: +0.757  |  private_well_proxy_pct: -0.521  |  fire_frequency: +0.418  |  unemployment_rate: +0.190  |  water_vulnerability_score: +0.126  |  industry_sensitivity: +0.085  |  wage_base_m: -0.041,FOIA,Gasoline Stations with Convenience Stores | Hotels (except Casino Hotels) and Motels | Child Day Care Services,8453.135,0.6149749538623781,True,547.0726718547921,1367.6816796369803,1203.5598780805428,1531.8034811934178,289.94851608303986,True,44.65953865168139,FOIA,surveyed,6,high
769,53035,Kitsap County,WA,0.13254525569947853,Low,Low Probability / Low Impact,0.16916273339129456,Low,0.40617621349824495,Moderate,0.23413830925935478,Resilient,0.13079228758261197,Low,→ Stable,-0.0017529681168665656,At Risk,-8.325406074523926,-9.155406074523926,-7.495406074523926,Medium,drought_weeks_before ↑ (+0.662),drought_weeks_before: +0.662  |  fire_frequency: +0.648  |  gdp_per_capita: -0.541  |  private_well_proxy_pct: +0.367  |  industry_sensitivity: +0.279  |  unemployment_rate: +0.254  |  water_vulnerability_score: +0.219  |  wage_base_m: +0.045,FOIA,Gasoline Stations with Convenience Stores | Hotels (except Casino Hotels) and Motels | Veterinary Services,30248.095,0.4836906612037299,True,1218.066940766979,3045.167351917448,2679.747269687354,3410.5874341475414,645.5754786064989,False,700.3626828916431,FOIA,surveyed,0,low
770,40069,Johnston County,OK,0.13229617187491863,Low,Low Probability / Low Impact,0.1280361520831371,Low,0.479050355610793,Moderate,0.599285341152281,Vulnerable,0.13238894153624203,Low,→ Stable,9.276966132340525e-05,At Risk,-10.112640380859375,-10.942640380859375,-9.282640380859375,Medium,private_well_proxy_pct ↓ (-0.545),private_well_proxy_pct: -0.545  |  fire_frequency: +0.437  |  drought_weeks_before: +0.265  |  unemployment_rate: +0.218  |  gdp_per_capita: -0.155  |  water_vulnerability_score: -0.103  |  industry_sensitivity: +0.044  |  wage_base_m: -0.014,FOIA,"Electrical Contractors | Drinking Places (Alcoholic Beverages) | General Freight Trucking, Long Distance, Truckload",661.8775,0.6751388295600171,True,45.18926397174198,112.97315992935495,99.41638073783237,126.52993912087753,23.95030990502325,True,15.978539771401914,FOIA,surveyed,0,low
771,19105,Jones County,IA,0.13175466823494136,Low,Low Probability / Low Impact,0.12243244986621356,Low,0.4860782228164415,Moderate,0.6906522759764079,Vulnerable,0.13178741483383616,Low,→ Stable,3.274659889479503e-05,At Risk,-10.949341773986816,-11.779341773986816,-10.119341773986816,Medium,fire_frequency ↓ (-1.182),fire_frequency: -1.182  |  drought_weeks_before: +0.919  |  private_well_proxy_pct: +0.593  |  gdp_per_capita: -0.327  |  water_vulnerability_score: -0.287  |  wage_base_m: -0.206  |  industry_sensitivity: -0.181  |  unemployment_rate: -0.019,FOIA,Prefabricated Metal Building and Component Manufacturing | Snack and Nonalcoholic Beverage Bars | Horse and Other Equine Production,1727.4,0.0753015443580205,True,14.242453512453006,35.60613378113251,31.333397727396616,39.87886983486841,7.548500361600094,True,36.137160408465334,FOIA,surveyed,0,low
772,27035,Crow Wing County,MN,0.13052228126066368,Low,Low Probability / Low Impact,0.13942545277453153,Low,0.43820416593346195,Moderate,0.5663075918547475,Vulnerable,0.1302719625550794,Low,→ Stable,-0.0002503187055842848,At Risk,-8.79765796661377,-9.62765796661377,-7.9676579666137695,Medium,drought_weeks_before ↑ (+1.046),drought_weeks_before: +1.046  |  gdp_per_capita: -1.001  |  private_well_proxy_pct: +0.501  |  wage_base_m: +0.284  |  water_vulnerability_score: +0.246  |  industry_sensitivity: +0.176  |  fire_frequency: +0.115  |  unemployment_rate: +0.095,FOIA,"Automotive Body, Paint, and Interior Repair and Maintenance | Home Health Care Services | Other Lighting Equipment Manufacturing",6026.255,0.915151077752117,True,485.18500911935723,1212.9625227983931,1067.407020062586,1358.5180255342002,257.1480548332593,False,67.29262720123722,FOIA,surveyed,0,low
773,29215,Texas County,MO,0.13046416299248373,Low,Low Probability / High Impact,0.1139101280117112,Low,0.5237893231225841,High,0.6469074845619848,Vulnerable,0.13047315417524016,Low,→ Stable,8.991182756434846e-06,At Risk,-8.77889347076416,-9.60889347076416,-7.94889347076416,Medium,fire_frequency ↑ (+0.535),fire_frequency: +0.535  |  gdp_per_capita: +0.434  |  wage_base_m: -0.376  |  drought_weeks_before: +0.221  |  unemployment_rate: +0.213  |  water_vulnerability_score: +0.204  |  private_well_proxy_pct: +0.178  |  industry_sensitivity: +0.072,FOIA,Chicken Egg Production | Funeral Homes and Funeral Services | Pet Care (except Veterinary) Services,1850.9424999999999,0.436023264267539,True,70.85041010577194,177.12602526442987,155.87090223269828,198.38114829616143,37.55071735605913,True,21.16325353551913,FOIA,surveyed,0,low
774,27161,Waseca County,MN,0.13000587480383652,Low,Low Probability / Low Impact,0.13200279988350655,Low,0.4824318470607733,Moderate,0.41432743535686045,Moderate,0.13004213251257948,Low,→ Stable,3.625770874296497e-05,At Risk,-11.619556427001953,-12.449556427001953,-10.789556427001953,Medium,gdp_per_capita ↓ (-1.197),gdp_per_capita: -1.197  |  fire_frequency: -0.939  |  water_vulnerability_score: +0.518  |  unemployment_rate: +0.237  |  wage_base_m: -0.217  |  industry_sensitivity: +0.094  |  drought_weeks_before: +0.083  |  private_well_proxy_pct: +0.060,FOIA,Grain and Field Bean Merchant Wholesalers | Hotels (except Casino Hotels) and Motels | Coin-Operated Laundries and Drycleaners,1668.2625,0.0111462951234958,True,2.1606502626149533,5.401625656537384,4.753430577752898,6.049820735321869,1.1451446391859252,True,44.73466032695347,FOIA,surveyed,0,low
775,53033,King County,WA,0.12931632270456994,Low,Low Probability / Low Impact,0.19306668782658876,Low,0.3641372148829005,Moderate,0.09054581183965917,Resilient,0.11391078368744598,Low,↓ Decreasing,-0.015405539017123965,At Risk,-9.678499221801758,-10.508499221801758,-8.848499221801758,Medium,fire_frequency ↓ (-0.667),fire_frequency: -0.667  |  drought_weeks_before: +0.558  |  gdp_per_capita: -0.348  |  private_well_proxy_pct: +0.316  |  industry_sensitivity: +0.307  |  water_vulnerability_score: +0.258  |  unemployment_rate: +0.085  |  wage_base_m: +0.072,FOIA,Full-Service Restaurants | Homes for the Elderly | Child Day Care Services,250225.6025,0.1364696244663311,True,3305.032691036806,8262.581727592016,7271.071920280974,9254.091534903057,1751.6673262495074,False,1074.3597499877112,FOIA,surveyed,0,low
776,5113,Polk County,AR,0.12925470745625062,Low,Low Probability / High Impact,0.0983126492334053,Low,0.5952119014449935,High,0.6825549085162591,Vulnerable,0.12931192383975965,Low,→ Stable,5.721638350902891e-05,At Risk,-8.597912788391113,-9.427912788391113,-7.767912788391113,Medium,gdp_per_capita ↑ (+0.784),gdp_per_capita: +0.784  |  wage_base_m: -0.400  |  unemployment_rate: +0.364  |  drought_weeks_before: +0.354  |  private_well_proxy_pct: +0.282  |  fire_frequency: +0.160  |  industry_sensitivity: +0.129  |  water_vulnerability_score: -0.012,FOIA,Broilers and Other Meat Type | Other Poultry Production | All Other Miscellaneous Manufacturing,1195.9575,0.7343945068664169,True,75.51586511037199,188.78966277592997,166.13490324281838,211.44442230904156,40.023408508497155,True,22.545918831797845,FOIA,surveyed,0,low
777,5135,Sharp County,AR,0.12883943932594244,Low,Low Probability / High Impact,0.09594360287856113,Low,0.6201637408044121,High,0.6128469632439218,Vulnerable,0.12889775351777427,Low,→ Stable,5.831419183183195e-05,At Risk,-9.30494499206543,-10.13494499206543,-8.47494499206543,Medium,gdp_per_capita ↑ (+0.926),gdp_per_capita: +0.926  |  drought_weeks_before: +0.857  |  fire_frequency: -0.728  |  water_vulnerability_score: -0.544  |  unemployment_rate: +0.250  |  industry_sensitivity: +0.090  |  wage_base_m: +0.081  |  private_well_proxy_pct: +0.022,FOIA,Broilers and Other Meat Type | Chicken Egg Production | RV (Recreational Vehicle) Parks and Campgrounds,1101.5975,0.6794399410464259,True,69.64466041198857,174.11165102997143,153.21825290637486,195.00504915356797,36.911670018353945,True,29.112481621325713,FOIA,surveyed,0,low
