FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA4010028,SLO CSA NO. 16 - SHANDON,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,1085,NULL,NULL,1085,0,NULL,13,0,349,362,SC,Small Community,9/29/2022,SHANDON,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA4010025,SLO CWD NO. 10 - CAYUCOS WTP,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,NULL,2228,0,NULL,3,0,0,3,WH,Wholesaler,12/28/2021,CAYUCOS,T3,Treatment Operator Level 3,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA4010024,SLO CWWD NO. 23 - SANTA MARGARITA,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1291,NULL,NULL,1291,0,NULL,25,0,481,506,SC,Small Community,12/21/2021,SANTA MARGARITA,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000753,SLO PARTNERS,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,40,NULL,40,0,NULL,0,2,0,2,SP,Non-Transient Non-Community Water System,3/30/2021,SAN LUIS OBISPO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA4010901,SLOCSA #10A - CAYUCOS,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,1200,NULL,NULL,1200,0,NULL,6,0,778,784,SC,Small Community,12/28/2021,CAYUCOS,NULL,,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400376,SLOUGHHOUSE INN,SACRAMENTO,"SACRAMENTO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,200,200,0,NULL,2,0,0,2,NULL,,3/24/2020,SLOUGHHOUSE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA4410002,SLVWD - FELTON WATER SYSTEM,SANTA CRUZ,"SANTA CRUZ, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,4340,NULL,NULL,4340,0,NULL,96,27,1230,1353,C1,Large Water System,7/8/2020,FELTON,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA80 - STANISLAUS COUNTY,CA5000290,SMART STOP FOOD MART (EH),STANISLAUS,"STANISLAUS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,26,26,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,1/11/2019,MODESTO,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600260,SMILEY PARK COUNTRY CLUB,SAN BERNARDINO,"SAN BERNARDINO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,370,NULL,NULL,370,0,NULL,0,0,103,103,SC,Small Community,12/16/2020,RUNNING SPRINGS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA5601725,SMITH FORKS WATER SYSTEM,VENTURA,"VENTURA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,3000,3000,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,9/29/2020,GORMAN,TD,Treatment or distribution operator of any grade,NR,Not Required
