FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900621,CAMP BOUNTIFUL,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,10,0,0,10,N1,Transient Non-Community Water System,6/11/2021,NORTH SAN JUAN,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600593,CAMP CEDAR CREST,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,10,NULL,300,310,0,NULL,24,0,8,32,N1,Transient Non-Community Water System,8/31/2022,ARROWBEAR LAKE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 13 - SAN BERNARDINO,CA3600538,CAMP CEDAR FALLS,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,4,1,200,205,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,6/24/2020,ANGELUS OAKS,T2,Treatment Operator Level 2,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3702530,CAMP CEDAR GLEN,SAN DIEGO,"SAN DIEGO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,18,0,0,18,N1,Transient Non-Community Water System,9/5/2018,JULIAN,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA74 - SANTA CRUZ COUNTY,CA4400711,CAMP CHESEBROUGH,SANTA CRUZ,"SANTA CRUZ, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,5,150,155,0,NULL,5,0,0,5,NULL,,6/14/2022,LOS GATOS,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 11 - MERCED,CA2203021,CAMP CHILNUALNA WATER SYSTEM,MARIPOSA,"MARIPOSA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,4,28,34,0,NULL,7,0,1,8,N1,Transient Non-Community Water System,10/8/2018,WAWONA,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900631,CAMP CONCORD,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,69,69,NULL,NULL,10,NULL,NULL,10,N1,Transient Non-Community Water System,6/29/2020,SOUTH LAKE TAHOE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200095,CAMP CROMBERG / COMMUNITY OF CHRIST,PLUMAS,"PLUMAS, California",NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,24,24,0,NULL,0,0,1,1,DD,Dead and Done (Not Active),NULL,CROMBERG,NULL,,NULL,
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 14 - SAN DIEGO,CA3700880,CAMP DENVER FOX,SAN DIEGO,"SAN DIEGO, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,70,1,71,0,NULL,15,0,0,15,SP,Non-Transient Non-Community Water System,2/1/2023,SANTA YSABEL,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502073,CAMP EL CAMINO PINES,KERN,"KERN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,6,NULL,125,131,0,NULL,12,0,2,14,N1,Transient Non-Community Water System,6/17/2019,FRAZIER PARK,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 15 - METROPOLITAN,CA1900080,CAMP ELK,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,3,NULL,120,123,0,NULL,16,0,1,17,N1,Transient Non-Community Water System,5/7/2024,WRIGHTWOOD,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA88 - YUBA COUNTY,CA5800801,CAMP FAR WEST RESORT,YUBA,"YUBA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,6,NULL,4006,4012,0,NULL,2,0,3,5,N1,Transient Non-Community Water System,6/2/2023,WHEATLAND,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900401,CAMP FLEMING CAMPGROUND,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,NULL,NULL,20,NULL,NULL,20,N1,Transient Non-Community Water System,6/25/2020,SOMERSET,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900100,CAMP FLEMING LODGE,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,3,NULL,100,103,NULL,NULL,22,NULL,1,23,NULL,,6/26/2020,SOMERSET,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3302072,CAMP FREMONT,RIVERSIDE,"RIVERSIDE, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,22,NULL,22,0,NULL,0,0,13,13,XS,State Small Water System,NULL,MECCA,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 23 - FRESNO,CA1000170,CAMP FRESNO WATER SYSTEM,FRESNO,"FRESNO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,5600,5600,0,NULL,55,0,0,55,N1,Transient Non-Community Water System,6/12/2019,DINKEY CREEK,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600600,CAMP GILBOA,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,300,300,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,6/25/2024,BIG BEAR LAKE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3601139,CAMP HEART BAR EQUESTRIAN GROUP,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,713,713,0,NULL,40,0,0,40,N1,Transient Non-Community Water System,9/15/2022,ANGELES OAKS,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500151,CAMP JACK HAZARD,TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,190,190,0,NULL,0,0,2,2,N1,Transient Non-Community Water System,6/22/2023,DARDANELLE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3301097,CAMP JOE SCHERMAN,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,NULL,100,101,3,NULL,35,0,1,39,N1,Transient Non-Community Water System,8/29/2019,MOUNTAIN CENTER,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4100538,CAMP JONES GULCH,SAN MATEO,"SAN MATEO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,44,13,300,357,0,NULL,40,0,25,65,SC,Small Community,12/13/2022,LA HONDA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900603,CAMP JOSEPHO-BSA WATER,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,300,300,0,NULL,2,0,1,3,N1,Transient Non-Community Water System,5/3/2023,PACIFIC PALISADES,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000564,CAMP KREM YOSEMITE,MADERA,"MADERA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,81,81,0,NULL,5,0,2,7,NULL,,5/26/2022,AHWAHNEE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600536,CAMP LA VERNE,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,3,20,23,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,8/12/2024,ANGELUS OAKS,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502042,CAMP LAKOTA WATER SYSTEM,KERN,"KERN, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,1,235,238,0,NULL,5,0,1,6,N1,Transient Non-Community Water System,1/29/2024,FRAZIER PARK,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200157,CAMP LAYMAN RESORT,PLUMAS,"PLUMAS, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,20,20,0,NULL,0,0,5,5,NULL,,NULL,BLAIRSDEN,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 02 - LASSEN,CA4600005,"CAMP LEONARD, SIERRA NV F.C.",SIERRA,"SIERRA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,7/27/2023,SIERRAVILLE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA32 - ALPINE COUNTY,CA0202547,CAMP LIAHONA,ALPINE,"ALPINE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,53,53,0,NULL,8,0,0,8,N1,Transient Non-Community Water System,7/23/2024,TWAIN HARTE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901109,CAMP LIAHONA REDWOODS,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,14,0,4,18,N1,Transient Non-Community Water System,5/27/2022,ANNAPOLIS,TD,Treatment or distribution operator of any grade,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3700118,CAMP LOCKETT MIDDLE SCHOOL,SAN DIEGO,"SAN DIEGO, California",NTNC,Non-Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,150,NULL,150,0,NULL,4,0,0,4,SP,Non-Transient Non-Community Water System,7/6/2020,CAMPO,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA35 - CALAVERAS COUNTY,CA0500026,CAMP LODESTAR,CALAVERAS,"CALAVERAS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,0,0,15,15,N1,Transient Non-Community Water System,8/5/2022,WILSEYVILLE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4100529,CAMP LOMA MAR,SAN MATEO,"SAN MATEO, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,28,NULL,180,208,0,NULL,16,0,5,21,SC,Small Community,8/18/2022,LOMA MAR,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900205,CAMP LOTUS WATER SYSTEM,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,1000,1000,NULL,NULL,35,NULL,NULL,35,N1,Transient Non-Community Water System,6/24/2020,LOTUS,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3301099,CAMP MARANATHA,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,12,NULL,60,72,0,NULL,13,0,3,16,N1,Transient Non-Community Water System,4/17/2024,IDYLLWILD,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500031,CAMP MATHER,TUOLUMNE,"TUOLUMNE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,NULL,500,500,0,NULL,15,0,0,15,N1,Transient Non-Community Water System,11/29/2023,GROVELAND,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500346,CAMP MCCUMBER WATER SYSTEM,SHASTA,"SHASTA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,4,NULL,31,35,0,NULL,12,0,1,13,NULL,,6/26/2024,SHINGLETOWN,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4910029,CAMP MEEKER WATER SYSTEM,SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1171,NULL,NULL,1171,0,NULL,0,0,356,356,SC,Small Community,5/22/2019,CAMP MEEKER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300839,CAMP MENDOCINO,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,6,NULL,315,321,0,NULL,28,0,2,30,N1,Transient Non-Community Water System,8/21/2023,FORT BRAGG,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA35 - CALAVERAS COUNTY,CA0500022,CAMP MENZIES,CALAVERAS,"CALAVERAS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,0,NULL,18,0,0,18,N1,Transient Non-Community Water System,8/2/2022,CAMP CONNELL,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3601141,CAMP MORNING STAR,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,150,150,0,NULL,13,0,3,16,N1,Transient Non-Community Water System,2/18/2021,ANGELUS OAKS,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900114,CAMP NAUVOO WATER SYSTEM,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,125,125,NULL,NULL,2,NULL,NULL,2,NULL,,5/4/2010,PLACERVILLE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300873,CAMP NAVARRO,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GU,Groundwater UDI Surface Water,3,5,276,284,0,NULL,18,0,1,19,N1,Transient Non-Community Water System,5/22/2018,NAVARRO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA5410022,CAMP NELSON WATER COMPANY,TULARE,"TULARE, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,44,6,84,134,0,NULL,3,0,290,293,SC,Small Community,11/2/2018,CAMP NELSON,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600591,CAMP OAKES,SAN BERNARDINO,"SAN BERNARDINO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,25,NULL,NULL,25,0,NULL,1,0,7,8,N1,Transient Non-Community Water System,5/11/2021,BIG BEAR CITY,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 26 - IMPERIAL,CA3702459,CAMP OLIVER,SAN DIEGO,"SAN DIEGO, California",NP,Non-Public,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,NULL,NULL,2,0,NULL,7,0,2,9,N1,Transient Non-Community Water System,1/24/2018,DESCANSO,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600587,CAMP OSITO RANCHO,SAN BERNARDINO,"SAN BERNARDINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,200,200,0,NULL,10,0,1,11,N1,Transient Non-Community Water System,9/24/2019,BIG BEAR LAKE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502315,CAMP OWEN WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,35,75,NULL,110,0,NULL,23,0,0,23,GQ,,4/14/2023,KERNVILLE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA32 - ALPINE COUNTY,CA0202548,CAMP PEACEFUL PINES,ALPINE,"ALPINE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,13,0,0,13,N1,Transient Non-Community Water System,7/23/2024,DARDANELLE,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 08 - SANTA ANA,CA3710700,CAMP PENDLETON (NORTH),SAN DIEGO,"SAN DIEGO, California",C,Community,C,Community,A,Active,F,Federal Government,GW,Groundwater,12697,NULL,275,12972,0,NULL,285,0,1320,1605,C1,Large Water System,8/21/2021,CAMP PENDLETON,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 08 - SANTA ANA,CA3710702,CAMP PENDLETON (SOUTH),SAN DIEGO,"SAN DIEGO, California",C,Community,C,Community,A,Active,F,Federal Government,GW,Groundwater,41472,1526,NULL,42998,4,NULL,1270,1,6486,7761,C1,Large Water System,7/24/2023,CAMP PENDLETON,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 10 - STOCKTON,CA0300006,CAMP RITCHIE,AMADOR,"AMADOR, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,250,250,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,5/26/2021,PIONEER,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA2710705,CAMP ROBERTS - CALIFORNIA NATIONAL GUARD,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,385,NULL,385,1,NULL,310,0,32,343,SP,Non-Transient Non-Community Water System,11/10/2022,SAN MIGUEL,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3301100,CAMP RONALD MCDONALD FOR G.T.,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,NULL,200,202,2,NULL,30,0,0,32,N1,Transient Non-Community Water System,4/29/2020,MOUNTAIN CENTER,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900520,CAMP ROSS RELLES,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,3,NULL,150,153,0,NULL,6,0,1,7,N1,Transient Non-Community Water System,9/28/2022,NEVADA CITY,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600777,CAMP ROUND MEADOW,SAN BERNARDINO,"SAN BERNARDINO, California",NP,Non-Public,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,125,125,0,NULL,8,0,0,8,N1,Transient Non-Community Water System,4/6/2021,ANGELUS OAKS,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4901105,CAMP ROYANEH,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,70,70,0,NULL,15,0,2,17,N1,Transient Non-Community Water System,8/27/1996,CAZADERO,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA59 - NEVADA COUNTY,CA2900516,CAMP RUCKER LAKE,NEVADA,"NEVADA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,150,150,0,NULL,8,0,0,8,N1,Transient Non-Community Water System,6/21/2022,NEVADA CITY,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900516,CAMP SACRAMENTO,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,250,250,NULL,NULL,20,NULL,NULL,20,N1,Transient Non-Community Water System,6/26/2023,TWIN BRIDGES,T2,Treatment Operator Level 2,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5400894,CAMP SAN JOAQUIN,TULARE,"TULARE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,15,50,65,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,6/27/2017,SEQ NAT'L FOREST,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4300834,CAMP SARATOGA,SANTA CLARA,"SANTA CLARA, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,450,NULL,NULL,450,NULL,NULL,NULL,NULL,15,15,SC,Small Community,7/24/2013,SARATOGA,T1,Treatment Operator Level 1,NULL,
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 06 - SANTA BARBARA,CA5601135,CAMP SCHEIDECK,VENTURA,"VENTURA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,15,NULL,15,0,NULL,0,0,37,37,SP,Non-Transient Non-Community Water System,11/17/2023,SANTA PAULA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900011,CAMP SCOTT AND SCUDDER,LOS ANGELES,"LOS ANGELES, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,275,NULL,275,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,3/6/2024,DOWNEY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1900011,CAMP SCOTT AND SCUDDER,LOS ANGELES,"LOS ANGELES, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,275,NULL,275,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,3/6/2024,SANTA CLARITA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
